,title,price
0,Apple iPhone 15 (128 GB) - Black,"₹61,400"
1,"iPhone 16e 128 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) Super Retina XDR Display; White","₹56,790"
2,Apple iPhone 14 (256 GB) - Midnight,"₹64,900"
3,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black","₹74,400"
4,"iPhone 16 Pro 128 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Natural Titanium","₹1,12,900"
5,Apple iPhone 15 (128 GB) - Blue,"₹61,790"
6,Apple iPhone 15 (128 GB) - Pink,"₹61,400"
7,Apple iPhone 15 (128 GB) - Black,"₹61,400"
8,"iPhone 16 Pro Max 256 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Black Titanium","₹1,37,900"
9,"iPhone 16 Pro 256 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Black Titanium","₹1,22,900"
10,Apple iPhone 13 (512GB) - Starlight,"₹67,999"
11,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Ultramarine","₹73,400"
12,"iPhone 16e 128 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) Super Retina XDR Display; Black","₹56,790"
13,"iPhone 16 256 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black","₹84,400"
14,"iPhone 16 Pro Max 256 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Natural Titanium","₹1,37,900"
15,Apple iPhone 15 (128 GB) - Green,"₹61,790"
16,Apple iPhone 14 (128 GB) - Blue,"₹54,900"
17,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Teal","₹73,900"
